CITY,COUNTRY,STATIONS,LENGTH_KM
São Paulo,Brazil,11,14.6
Chongqing,China,70,96.5
Wuhu,China,36,46.2
Yinchuan,China,8,5.67
Wuppertal,Germany,20,13.3
Mumbai,India,17,19.54
Tokyo,Japan,11,17.8
Naha,Japan,19,17.0
Tokyo,Japan,19,16.0
Chiba,Japan,18,15.2
Kitakyushu,Japan,13,8.8
Yokohama,Japan,8,6.6
Osaka,Japan,18,28.0
Kuala Lumpur,Malaysia,11,8.6
Daegu,South Korea,30,23.9
Bangkok,Thailand,55,65.17
Dubai,United Arab Emirates,4,5.45
Las Vegas,United States,7,6.3
Jacksonville,United States,8,4.0
Seattle,United States,2,1.54
