CITY,COUNTRY,STATIONS,LINES,LENGTH
Kimberley,South Africa,2,1,1.4
Chengdu,China,6,1,18.0
Antalya,Turkey,11,1,4.7
Istanbul,Turkey,15,2,4.2
Linz,Austria,0,1,4.1
Ringsted,Denmark,6,1,1.8
Naumburg,Germany,9,1,2.9
Ritten,Italy,5,1,6.6
Mrozy,Poland,2,1,1.75
Porto,Portugal,0,3,14.0
Sintra,Portugal,8,1,12.7
Trenčín,Slovakia,0,1,5.9
Sóller,Spain,17,1,5.0
Malmköping,Sweden,9,1,2.6
Malmö,Sweden,9,1,2.0
Seaton,United Kingdom,6,1,4.8
Wirral,United Kingdom,6,1,0.7
Boston,United States,8,1,4.1
Dallas,United States,38,1,7.4
El Paso,United States,27,2,7.7
Little Rock,United States,15,2,5.5
Memphis,United States,13,1,4.0
New Orleans,United States,112,5,25.6
San Francisco,United States,36,2,12.2
Tampa,United States,11,1,4.4
Auckland,New Zealand,4,1,1.5
Auckland,New Zealand,0,1,1.72
Buenos Aires,Argentina,2,1,2.0
Oranjestad,Aruba,10,1,1.9
Rio de Janeiro,Brazil,4,1,6.0
