CITY,COUNTRY,STATIONS,LINES,LENGTH
Toronto,Canada,685,10,83.0
Atlanta,United States,12,1,4.3
Charlotte,United States,17,1,6.4
Cincinnati,United States,18,1,5.8
Dallas,United States,6,1,3.9
Detroit,United States,12,1,5.3
Kansas City,United States,10,1,3.5
Milwaukee,United States,10,2,4.0
Oklahoma City,United States,22,2,7.7
Phoenix,United States,14,1,4.8
Portland,United States,67,3,11.6
Salt Lake City,United States,7,1,3.2
Seattle,United States,17,2,6.1
Tucson,United States,21,1,6.3
Washington,United States,8,1,3.9
