CITY,COUNTRY,STATION NUMBER,LINES,TOTAL LENGTH
Algiers,Algeria,33,4,126.5
Buenos Aires,Argentina,224,8,815.0
Córdoba,Argentina,17,1,150.8
La Plata,Argentina,7,1,4.6
Neuquén,Argentina,5,1,21.0
Posadas,Argentina,2,1,8.0
Salta,Argentina,8,1,87.0
Santiago del Estero,Argentina,4,1,8.0
Adelaide,Australia,89,6,132.0
Brisbane,Australia,153,12,689.0
Melbourne,Australia,221,17,1047.0
Perth,Australia,74,7,253.0
Sydney,Australia,170,8,813.0
Graz,Austria,112,11,450.0
Innsbruck,Austria,68,6,271.0
Klagenfurt,Austria,82,4,325.0
Linz,Austria,62,5,172.0
Salzburg,Austria,64,5,130.0
Vienna,Austria,181,10,475.0
Vorarlberg,Austria,46,6,80.0
Baku,Azerbaijan,15,2,91.0
Antwerp,Belgium,0,4,0.0
Brussels,Belgium,120,12,350.0
Charleroi,Belgium,63,4,0.0
Ghent,Belgium,0,3,0.0
Liège,Belgium,35,4,0.0
Gaborone,Botswana,3,1,0.0
Crato,Brazil,9,0,0.0
Fortaleza,Brazil,28,2,43.0
João Pessoa,Brazil,12,1,30.0
Maceió,Brazil,15,1,34.3
Natal,Brazil,23,2,56.0
Rio de Janeiro,Brazil,104,8,270.0
Sobral,Brazil,12,2,13.9
São Paulo,Brazil,96,7,278.0
Teresina,Brazil,9,1,13.5
Montreal,Canada,61,5,224.6
Toronto,Canada,72,8,549.3
Vancouver,Canada,8,1,69.0
Concepción,Chile,39,3,135.3
Santiago,Chile,18,1,133.8
Talca,Chile,11,1,88.0
Valparaíso,Chile,20,1,43.0
Victoria,Chile,8,1,65.0
Beijing,China,22,4,364.7
Changsha,China,21,1,97.6
Chengdu,China,33,2,194.3
Guangzhou,China,80,7,379.034
Guiyang,China,17,1,113.0
Haikou,China,7,1,51.4
Lanzhou,China,6,1,61.0
Ningbo,China,3,1,48.7
Shanghai,China,15,2,114.978
Shaoxing,China,5,1,80.2
Taizhou,China,5,2,104.338
San José,Costa Rica,32,3,72.0
Split,Croatia,7,1,17.8
Zagreb,Croatia,19,1,47.0
Havana,Cuba,0,8,0.0
Ostrava,Czech Republic,0,10,0.0
Prague,Czech Republic,295,33,933.0
Aalborg,Denmark,7,1,27.0
Copenhagen,Denmark,85,7,170.0
Cairo,Egypt,12,1,70.0
Tallinn,Estonia,37,4,132.0
Helsinki,Finland,55,14,236.0
Tampere,Finland,20,2,0.0
Lille,France,363,12,0.0
Paris,France,640,20,1901.0
Toulouse,France,10,2,0.0
Berlin,Germany,166,15,335.2
Bremen,Germany,56,4,270.0
Cologne,Germany,124,13,676.0
Dresden,Germany,46,3,166.0
Frankfurt,Germany,108,9,303.0
